Member State,Card ID,Descriptor of the value chain,Reference mountain chain,Reference mountain landscape,LAU,Centroid,Shape
AUSTRIA,VC_11_AT,"Murbodner Potatoes (""Murbodner Erdäpfel"")","RR 11, Austrian Alps",Murtal (No: 620),LAU 1 not used in Austria – Scale therefore is „District“,POINT (14.66027778 47.1725),
AUSTRIA,VC_12_AT,Lungauer Eachtling,"RR 11, Austrian Alps",Tamsweg (No: 505 = NUTS 3: AT321: Lungau),"LAU 1 not used in Austria – Scale therefore is „District“. In this case, district = NUTS3.",POINT (13.866604347688343 47.141929699878126),"POLYGON ((13.988206 47.126467, 13.972429 47.127315, 13.958593 47.124625, 13.945211 47.135372, 13.936597 47.135332, 13.910149 47.123296, 13.901105 47.115824, 13.883258 47.109036, 13.87937 47.100219, 13.85646 47.100164, 13.843856 47.088031, 13.828326 47.082243, 13.822064 47.082248, 13.817227 47.087006, 13.784797 47.088055, 13.771752 47.106667, 13.770319 47.116943, 13.7728 47.119882, 13.766422 47.124132, 13.776977 47.131392, 13.78314 47.138993, 13.807111 47.143993, 13.804911 47.160288, 13.823375 47.163694, 13.829896 47.169319, 13.830232 47.179286, 13.842995 47.184221, 13.842749 47.193812, 13.851151 47.198879, 13.865526 47.220101, 13.866743 47.216194, 13.883043 47.204452, 13.900935 47.195338, 13.896423 47.185952, 13.897781 47.183293, 13.908556 47.183888, 13.915593 47.179354, 13.919597 47.172217, 13.943596 47.166536, 13.956983 47.161785, 13.970148 47.149912, 13.993421 47.142144, 13.995061 47.132304, 13.988206 47.126467))"
AUSTRIA,VC_13_AT,Mölltal-Glockner Lamm (engl. lamb),"RR 11, Austrian Alps",Spittal an der Drau (No: 206),"LAU 1 not used in Austria – Scale therefore is „District“. In this case, district = NUTS3.",POINT (13.543383237768081 46.77702332503806),"POLYGON ((13.546021 46.806795, 13.620291 46.775679, 13.606988 46.767762, 13.616329 46.758624, 13.604856 46.751005, 13.593744 46.749111, 13.58772 46.743475, 13.567145 46.752026, 13.542653 46.755755, 13.508937 46.745832, 13.502113 46.747403, 13.493896 46.754258, 13.51251 46.776665, 13.467806 46.794651, 13.470168 46.805705, 13.467829 46.810478, 13.475448 46.815865, 13.488235 46.811118, 13.496235 46.812399, 13.527996 46.797072, 13.546041 46.791691, 13.550391 46.798956, 13.546021 46.806795))"
AUSTRIA,VC_14_AT,Murbodner Beef,"RR 11, Austrian Alps",Murtal (No: 620),LAU 1 not used in Austria – Scale therefore is „District“,POINT (14.66027778 47.1725),
AUSTRIA,VC_15_AT,"Sheep farmers from Weiz (""Weizer Schafbauern"")","RR 11, Austrian Alps",Weiz (No: 617),LAU 1 not used in Austria – Scale therefore is „District“,POINT (15.648804607839635 47.20873958185875),"POLYGON ((15.675963 47.2204, 15.681381 47.20698, 15.668843 47.198714, 15.677212 47.189261, 15.667934 47.184875, 15.663894 47.18585, 15.659416 47.18693, 15.649682 47.1828, 15.644033 47.19083, 15.633943 47.194556, 15.634047 47.198838, 15.616794 47.195843, 15.623007 47.201146, 15.620444 47.205403, 15.622253 47.209055, 15.618842 47.211245, 15.620677 47.214798, 15.612272 47.216708, 15.605629 47.222918, 15.616735 47.225435, 15.614271 47.232561, 15.621622 47.226694, 15.637429 47.224, 15.646325 47.216946, 15.652887 47.227725, 15.663894 47.231449, 15.666513 47.232336, 15.675963 47.2204))"
AUSTRIA,VC_16_AT,Kärntna Låxn,"RR 11, Austrian Alps",Spittal an der Drau (No: 206),"LAU 1 not used in Austria – Scale therefore is „District“. In this case, district = NUTS3.",POINT (13.543383237768081 46.77702332503806),"POLYGON ((13.546021 46.806795, 13.620291 46.775679, 13.606988 46.767762, 13.616329 46.758624, 13.604856 46.751005, 13.593744 46.749111, 13.58772 46.743475, 13.567145 46.752026, 13.542653 46.755755, 13.508937 46.745832, 13.502113 46.747403, 13.493896 46.754258, 13.51251 46.776665, 13.467806 46.794651, 13.470168 46.805705, 13.467829 46.810478, 13.475448 46.815865, 13.488235 46.811118, 13.496235 46.812399, 13.527996 46.797072, 13.546041 46.791691, 13.550391 46.798956, 13.546021 46.806795))"
AUSTRIA,VC_17_AT,Ausseerland Seesaibling und Forelle (engl. artic char and trout from the Region Ausseerland),"RR 11, Austrian Alps",Liezen (No: 612 = NUTS3: AT 222),"LAU 1 not used in Austria – Scale therefore is „District“. In this case, district = NUTS3.",POINT (14.209100723901665 47.516687948500206),"POLYGON ((14.73855 47.74743, 14.78667 47.72786, 15.0881 47.74082, 15.08118 47.66731, 15.02256 47.608, 14.76738 47.58416, 14.64299 47.4901, 14.60429 47.42707, 14.44536 47.45252, 14.11291 47.27385, 13.86437 47.25169, 13.60684 47.2833, 13.58558 47.47399, 13.73434 47.4905, 13.71344 47.66731, 13.82789 47.72188, 14.01066 47.70051, 14.05484 47.66731, 14.07384 47.62712, 14.30188 47.611, 14.46177 47.66731, 14.69542 47.7584, 14.73855 47.74743))"
AUSTRIA,VC_18_AT,"Murtaler pumpkin seed oil (""Kürbiskernöl"")","RR 11, Austrian Alps",Bruck-Mürzzuschlag (No: 621),LAU 1 not used in Austria – Scale therefore is „District“,POINT (15.2667 47.4167),
AUSTRIA,VC_19_AT,Bio vom Berg  (translated: Organic products from mountain areas),"RR 11, Austrian Alps",NUTS 2: AT 33,LAU 1 not used in Austria – for this VC NUTS 3,POINT (11.4989715249424 47.199792632888226),"MULTIPOLYGON (((12.69064 46.65697, 12.47792 46.67984, 12.16293 46.91672, 12.14311 46.99888, 12.24075 47.06917, 12.46293 47.15172, 12.65608 47.0997, 12.93809 46.80037, 12.73035 46.7285, 12.69064 46.65697)), ((12.57503 47.63232, 12.67276 47.4778, 12.44783 47.3343, 12.09998 47.26712, 12.13601 47.08067, 11.77459 46.98302, 11.6272 47.0133, 11.16428 46.96572, 10.9935 46.77015, 10.66464 46.86335, 10.46965 46.85491, 10.47209 46.93503, 10.39464 46.98382, 10.14497 46.85101, 10.11505 46.93407, 10.21279 47.15728, 10.17835 47.27011, 10.43481 47.39793, 10.45444 47.5558, 10.8862 47.53685, 10.9912 47.39613, 11.0165 47.39637, 11.42143 47.44485, 11.41022 47.49532, 11.56069 47.52129, 11.63288 47.59245, 12.06066 47.61874, 12.16928 47.62105, 12.18239 47.66731, 12.20035 47.70595, 12.33805 47.69709, 12.45255 47.66731, 12.50015 47.63082, 12.57503 47.63232)))"
AUSTRIA,VC_20_AT,Styria Beef,"RR 11, Austrian Alps",NUTS 2: AT 22 Steiermark,LAU 1 not used in Austria – for this VC NUTS 3,POINT (15.004809570127309 47.26710556386072),"POLYGON ((15.84791 47.56847, 16.09602 47.4985, 16.17108 47.42134, 16.03652 47.35818, 16.1126 46.99803, 15.99624 46.8354, 16.015 46.67256, 15.78642 46.70747, 15.64999 46.70576, 15.49787 46.63123, 15.40198 46.65355, 15.06512 46.65211, 14.99264 46.80066, 15.00206 46.93304, 14.84206 47.04861, 14.76738 47.03799, 14.40787 46.99637, 14.17405 47.06047, 13.94663 46.94162, 13.78513 46.94405, 13.9187 47.15055, 13.86437 47.25169, 13.60684 47.2833, 13.58558 47.47399, 13.73434 47.4905, 13.71344 47.66731, 13.82789 47.72188, 14.01066 47.70051, 14.05484 47.66731, 14.07384 47.62712, 14.30188 47.611, 14.46177 47.66731, 14.69542 47.7584, 14.73855 47.74743, 14.78667 47.72786, 15.0881 47.74082, 15.21803 47.7941, 15.37037 47.80928, 15.72657 47.66731, 15.84791 47.56847))"
