Member State,Card ID,Descriptor of the value chain,Reference mountain chain,Reference mountain landscape,LAU,CTR Code,Effective LAU o NUTS,Centroid,Shape
AUSTRIA,VC_11_AT,"Murbodner Potatoes (""Murbodner Erdäpfel"")","RR 11, Austrian Alps",Murtal (No: 620),LAU 1 not used in Austria – Scale therefore is „District“,,,POINT (14.66027778 47.1725),
AUSTRIA,VC_12_AT,Lungauer Eachtling,"RR 11, Austrian Alps",Tamsweg (No: 505 = NUTS 3: AT321: Lungau),"LAU 1 not used in Austria – Scale therefore is „District“. In this case, district = NUTS3.",AT,50510,POINT (13.866604347688343 47.141929699878126),"POLYGON ((13.988206 47.126467, 13.972429 47.127315, 13.958593 47.124625, 13.945211 47.135372, 13.936597 47.135332, 13.910149 47.123296, 13.901105 47.115824, 13.883258 47.109036, 13.87937 47.100219, 13.85646 47.100164, 13.843856 47.088031, 13.828326 47.082243, 13.822064 47.082248, 13.817227 47.087006, 13.784797 47.088055, 13.771752 47.106667, 13.770319 47.116943, 13.7728 47.119882, 13.766422 47.124132, 13.776977 47.131392, 13.78314 47.138993, 13.807111 47.143993, 13.804911 47.160288, 13.823375 47.163694, 13.829896 47.169319, 13.830232 47.179286, 13.842995 47.184221, 13.842749 47.193812, 13.851151 47.198879, 13.865526 47.220101, 13.866743 47.216194, 13.883043 47.204452, 13.900935 47.195338, 13.896423 47.185952, 13.897781 47.183293, 13.908556 47.183888, 13.915593 47.179354, 13.919597 47.172217, 13.943596 47.166536, 13.956983 47.161785, 13.970148 47.149912, 13.993421 47.142144, 13.995061 47.132304, 13.988206 47.126467))"
AUSTRIA,VC_13_AT,Mölltal-Glockner Lamm (engl. lamb),"RR 11, Austrian Alps",Spittal an der Drau (No: 206),"LAU 1 not used in Austria – Scale therefore is „District“. In this case, district = NUTS3.",AT,20635,POINT (13.543383237768081 46.77702332503806),"POLYGON ((13.546021 46.806795, 13.620291 46.775679, 13.606988 46.767762, 13.616329 46.758624, 13.604856 46.751005, 13.593744 46.749111, 13.58772 46.743475, 13.567145 46.752026, 13.542653 46.755755, 13.508937 46.745832, 13.502113 46.747403, 13.493896 46.754258, 13.51251 46.776665, 13.467806 46.794651, 13.470168 46.805705, 13.467829 46.810478, 13.475448 46.815865, 13.488235 46.811118, 13.496235 46.812399, 13.527996 46.797072, 13.546041 46.791691, 13.550391 46.798956, 13.546021 46.806795))"
AUSTRIA,VC_14_AT,Murbodner Beef,"RR 11, Austrian Alps",Murtal (No: 620),LAU 1 not used in Austria – Scale therefore is „District“,,,POINT (14.66027778 47.1725),
AUSTRIA,VC_15_AT,"Sheep farmers from Weiz (""Weizer Schafbauern"")","RR 11, Austrian Alps",Weiz (No: 617),LAU 1 not used in Austria – Scale therefore is „District“,AT,61766,POINT (15.648804607839635 47.20873958185875),"POLYGON ((15.675963 47.2204, 15.681381 47.20698, 15.668843 47.198714, 15.677212 47.189261, 15.667934 47.184875, 15.663894 47.18585, 15.659416 47.18693, 15.649682 47.1828, 15.644033 47.19083, 15.633943 47.194556, 15.634047 47.198838, 15.616794 47.195843, 15.623007 47.201146, 15.620444 47.205403, 15.622253 47.209055, 15.618842 47.211245, 15.620677 47.214798, 15.612272 47.216708, 15.605629 47.222918, 15.616735 47.225435, 15.614271 47.232561, 15.621622 47.226694, 15.637429 47.224, 15.646325 47.216946, 15.652887 47.227725, 15.663894 47.231449, 15.666513 47.232336, 15.675963 47.2204))"
AUSTRIA,VC_16_AT,Kärntna Låxn,"RR 11, Austrian Alps",Spittal an der Drau (No: 206),"LAU 1 not used in Austria – Scale therefore is „District“. In this case, district = NUTS3.",AT,20635,POINT (13.543383237768081 46.77702332503806),"POLYGON ((13.546021 46.806795, 13.620291 46.775679, 13.606988 46.767762, 13.616329 46.758624, 13.604856 46.751005, 13.593744 46.749111, 13.58772 46.743475, 13.567145 46.752026, 13.542653 46.755755, 13.508937 46.745832, 13.502113 46.747403, 13.493896 46.754258, 13.51251 46.776665, 13.467806 46.794651, 13.470168 46.805705, 13.467829 46.810478, 13.475448 46.815865, 13.488235 46.811118, 13.496235 46.812399, 13.527996 46.797072, 13.546041 46.791691, 13.550391 46.798956, 13.546021 46.806795))"
AUSTRIA,VC_17_AT,Ausseerland Seesaibling und Forelle (engl. artic char and trout from the Region Ausseerland),"RR 11, Austrian Alps",Liezen (No: 612 = NUTS3: AT 222),"LAU 1 not used in Austria – Scale therefore is „District“. In this case, district = NUTS3.",AT,61259,POINT (14.2357085889464 47.59341683036684),"POLYGON ((14.201565 47.554656, 14.199137 47.555523, 14.196759 47.555815, 14.194705 47.564383, 14.180627 47.572143, 14.176724 47.579252, 14.167872 47.584954, 14.153035 47.584499, 14.145417 47.59253, 14.14795 47.597746, 14.158139 47.598581, 14.163929 47.603327, 14.15995 47.616392, 14.168729 47.627429, 14.176292 47.632268, 14.177558 47.637732, 14.180627 47.638362, 14.205851 47.65204, 14.231701 47.650838, 14.224541 47.64046, 14.234159 47.62918, 14.25637 47.612892, 14.264922 47.610842, 14.280632 47.613858, 14.296304 47.608504, 14.326195 47.607546, 14.324342 47.604134, 14.326687 47.599714, 14.315043 47.594383, 14.321317 47.583948, 14.329619 47.580338, 14.332955 47.574341, 14.318157 47.57282, 14.295123 47.557897, 14.278576 47.554884, 14.280719 47.550087, 14.294742 47.549959, 14.300449 47.547758, 14.299561 47.545609, 14.279045 47.543487, 14.265601 47.547702, 14.242081 47.548659, 14.232773 47.553353, 14.231336 47.558045, 14.222559 47.555248, 14.220112 47.557441, 14.205107 47.557034, 14.201565 47.554656))"
AUSTRIA,VC_18_AT,"Murtaler pumpkin seed oil (""Kürbiskernöl"")","RR 11, Austrian Alps",Bruck-Mürzzuschlag (No: 621),LAU 1 not used in Austria – Scale therefore is „District“,,,POINT (15.2667 47.4167),
AUSTRIA,VC_19_AT,Bio vom Berg  (translated: Organic products from mountain areas),"RR 11, Austrian Alps",NUTS 2: AT 33,LAU 1 not used in Austria – for this VC NUTS 3,AT,AT33,POINT (11.4989715249424 47.199792632888226),"MULTIPOLYGON (((12.69064 46.65697, 12.47792 46.67984, 12.16293 46.91672, 12.14311 46.99888, 12.24075 47.06917, 12.46293 47.15172, 12.65608 47.0997, 12.93809 46.80037, 12.73035 46.7285, 12.69064 46.65697)), ((12.57503 47.63232, 12.67276 47.4778, 12.44783 47.3343, 12.09998 47.26712, 12.13601 47.08067, 11.77459 46.98302, 11.6272 47.0133, 11.16428 46.96572, 10.9935 46.77015, 10.66464 46.86335, 10.46965 46.85491, 10.47209 46.93503, 10.39464 46.98382, 10.14497 46.85101, 10.11505 46.93407, 10.21279 47.15728, 10.17835 47.27011, 10.43481 47.39793, 10.45444 47.5558, 10.8862 47.53685, 10.9912 47.39613, 11.0165 47.39637, 11.42143 47.44485, 11.41022 47.49532, 11.56069 47.52129, 11.63288 47.59245, 12.06066 47.61874, 12.16928 47.62105, 12.18239 47.66731, 12.20035 47.70595, 12.33805 47.69709, 12.45255 47.66731, 12.50015 47.63082, 12.57503 47.63232)))"
AUSTRIA,VC_20_AT,Styria Beef,"RR 11, Austrian Alps",NUTS 2: AT 22 Steiermark,LAU 1 not used in Austria – for this VC NUTS 3,AT,AT22,POINT (15.004809570127309 47.26710556386072),"POLYGON ((15.84791 47.56847, 16.09602 47.4985, 16.17108 47.42134, 16.03652 47.35818, 16.1126 46.99803, 15.99624 46.8354, 16.015 46.67256, 15.78642 46.70747, 15.64999 46.70576, 15.49787 46.63123, 15.40198 46.65355, 15.06512 46.65211, 14.99264 46.80066, 15.00206 46.93304, 14.84206 47.04861, 14.76738 47.03799, 14.40787 46.99637, 14.17405 47.06047, 13.94663 46.94162, 13.78513 46.94405, 13.9187 47.15055, 13.86437 47.25169, 13.60684 47.2833, 13.58558 47.47399, 13.73434 47.4905, 13.71344 47.66731, 13.82789 47.72188, 14.01066 47.70051, 14.05484 47.66731, 14.07384 47.62712, 14.30188 47.611, 14.46177 47.66731, 14.69542 47.7584, 14.73855 47.74743, 14.78667 47.72786, 15.0881 47.74082, 15.21803 47.7941, 15.37037 47.80928, 15.72657 47.66731, 15.84791 47.56847))"
AUSTRIA,VC_21_AT,"Wines of Kitzek im Sausal, South Styria",Kor Alps,,61019,AT,61019,POINT (15.453119258575306 46.77832696250315),"POLYGON ((15.491185 46.787765, 15.474126 46.786963, 15.48042 46.776041, 15.477003 46.770755, 15.471533 46.766195, 15.459839 46.768498, 15.452931 46.757241, 15.445977 46.753043, 15.437566 46.75291, 15.417463 46.757602, 15.425732 46.764567, 15.422573 46.774019, 15.441918 46.780727, 15.428478 46.801578, 15.464076 46.793453, 15.475502 46.79929, 15.478406 46.807731, 15.483875 46.811542, 15.484518 46.80551, 15.481006 46.799681, 15.491185 46.787765))"
BULGARIA,VC_01_BG,WILD COLLECTED MEDICINAL PLANTS,Central Stara Planina (Balkan Mountains),Gabrovo Municipality in Gabrovo Province (BG322),GAB05,BG,GAB05,POINT (25.28727500771858 42.868899842710604),"POLYGON ((25.43949 42.904021, 25.430495 42.900299, 25.430172 42.897385, 25.450914 42.883348, 25.444659 42.880162, 25.434842 42.865904, 25.424334 42.859806, 25.42494 42.84753, 25.421537 42.838879, 25.417002 42.837084, 25.406524 42.839177, 25.402286 42.832564, 25.408508 42.827478, 25.404251 42.816439, 25.406088 42.800343, 25.431245 42.790175, 25.436665 42.781044, 25.432984 42.775016, 25.43461 42.761189, 25.433478 42.755243, 25.434721 42.749372, 25.431997 42.746205, 25.427936 42.744047, 25.426079 42.740977, 25.424158 42.740155, 25.424333 42.737347, 25.423215 42.734442, 25.417743 42.733672, 25.412815 42.736386, 25.410935 42.738857, 25.403369 42.743441, 25.399128 42.742661, 25.395158 42.740409, 25.390095 42.738781, 25.386969 42.740361, 25.384585 42.741017, 25.381976 42.740489, 25.371923 42.74149, 25.372117 42.739561, 25.369758 42.738853, 25.362298 42.736361, 25.344441 42.743393, 25.340944 42.748521, 25.322795 42.75159, 25.316616 42.75638, 25.292853 42.754565, 25.283404 42.750754, 25.279713 42.758531, 25.269897 42.764577, 25.265779 42.763276, 25.258421 42.751685, 25.247539 42.743587, 25.239619 42.74899, 25.227123 42.749546, 25.222481 42.76601, 25.210283 42.780424, 25.178965 42.789098, 25.168992 42.809639, 25.172673 42.829166, 25.169823 42.840089, 25.162129 42.849599, 25.16308 42.860238, 25.144611 42.86784, 25.129901 42.869663, 25.112347 42.878154, 25.11653 42.889973, 25.116871 42.903083, 25.109754 42.920693, 25.119407 42.92386, 25.125139 42.933489, 25.141111 42.933023, 25.149674 42.945506, 25.137475 42.978284, 25.144467 42.983996, 25.131119 42.987299, 25.128475 42.992558, 25.133671 42.995107, 25.149581 42.993889, 25.156473 42.997714, 25.171555 42.997105, 25.185455 42.986428, 25.20445 42.981441, 25.216688 42.974082, 25.237353 42.971224, 25.252096 42.972857, 25.269396 42.983926, 25.290254 42.983298, 25.29236 42.973787, 25.31076 42.960685, 25.315528 42.961093, 25.318885 42.968917, 25.323296 42.970284, 25.356534 42.967373, 25.369758 42.960744, 25.377299 42.964396, 25.384333 42.962566, 25.411669 42.97039, 25.416826 42.968651, 25.423708 42.96177, 25.429444 42.949582, 25.423989 42.942713, 25.423057 42.933819, 25.41812 42.92961, 25.424333 42.922572, 25.422426 42.918888, 25.42738 42.914295, 25.427299 42.909313, 25.437989 42.907578, 25.43949 42.904021))"
BULGARIA,VC_02_BG,WILD COLLECTED MUSHROOMS,Western Stara Planina (Balkan Mountains),Stolichna Municipality in Sofia City Province (BG411),SOF46,BG,SOF46,POINT (23.398435264336896 42.67830225558081),"POLYGON ((23.624671 42.502587, 23.629291 42.499046, 23.623388 42.487541, 23.640895 42.480133, 23.64349 42.47263, 23.648898 42.468122, 23.650248 42.459578, 23.65988 42.455405, 23.659416 42.44397, 23.664402 42.435765, 23.66236 42.421728, 23.645376 42.421333, 23.631868 42.415581, 23.615665 42.413689, 23.602139 42.414084, 23.591913 42.420581, 23.576169 42.416757, 23.564114 42.421304, 23.551004 42.413141, 23.545529 42.413252, 23.533983 42.427717, 23.534671 42.436649, 23.530137 42.445109, 23.537704 42.460825, 23.538201 42.480635, 23.510792 42.49791, 23.508508 42.512081, 23.491462 42.512705, 23.479854 42.517077, 23.465806 42.517774, 23.453443 42.524716, 23.446082 42.523965, 23.426505 42.511145, 23.430937 42.505475, 23.441229 42.500793, 23.440661 42.494477, 23.446727 42.480351, 23.424244 42.472689, 23.413609 42.464663, 23.405955 42.473334, 23.385699 42.484447, 23.376328 42.493442, 23.363663 42.495354, 23.328091 42.50996, 23.311229 42.527362, 23.301743 42.525438, 23.290187 42.532709, 23.296674 42.536591, 23.299127 42.544646, 23.283472 42.562688, 23.258741 42.563977, 23.248215 42.571162, 23.239189 42.571248, 23.231374 42.574971, 23.223622 42.58262, 23.198409 42.589937, 23.15591 42.591929, 23.14765 42.587115, 23.14234 42.588427, 23.140172 42.592153, 23.141928 42.595821, 23.153354 42.605347, 23.171986 42.61487, 23.174187 42.624127, 23.1635 42.640545, 23.171895 42.648346, 23.172104 42.652913, 23.166292 42.658406, 23.147486 42.662666, 23.142473 42.666631, 23.118142 42.668374, 23.111154 42.675592, 23.109052 42.684359, 23.098742 42.69441, 23.085521 42.69237, 23.068854 42.694306, 23.053391 42.700526, 23.052141 42.703199, 23.056514 42.712734, 23.060648 42.715969, 23.064971 42.722178, 23.069471 42.724239, 23.076867 42.732744, 23.086667 42.736454, 23.091412 42.735035, 23.115917 42.739752, 23.14486 42.736388, 23.160422 42.72566, 23.174183 42.730619, 23.191239 42.727125, 23.196741 42.728745, 23.209573 42.741754, 23.217287 42.755498, 23.207132 42.763805, 23.206946 42.770732, 23.203123 42.772505, 23.209617 42.783824, 23.249742 42.797282, 23.250544 42.805713, 23.243462 42.817554, 23.25326 42.82864, 23.250325 42.841471, 23.254594 42.848837, 23.250211 42.851776, 23.247201 42.864815, 23.251072 42.871197, 23.260533 42.876429, 23.264663 42.892209, 23.273821 42.895255, 23.285563 42.895221, 23.307083 42.882949, 23.318748 42.883606, 23.323377 42.873229, 23.334121 42.869748, 23.341796 42.863557, 23.343129 42.856211, 23.366689 42.851967, 23.371451 42.848783, 23.372736 42.845766, 23.367055 42.841687, 23.36996 42.84001, 23.375638 42.84045, 23.387084 42.84744, 23.404633 42.848278, 23.415873 42.856723, 23.435382 42.862308, 23.447271 42.871143, 23.454551 42.863634, 23.463095 42.862653, 23.469293 42.873137, 23.472747 42.874267, 23.479431 42.872512, 23.491028 42.860744, 23.497402 42.860071, 23.507792 42.863991, 23.513375 42.862499, 23.52367 42.855546, 23.526478 42.850052, 23.532887 42.847451, 23.534027 42.839964, 23.540118 42.831728, 23.556298 42.828055, 23.565652 42.830295, 23.57791 42.846837, 23.591926 42.850828, 23.606327 42.860316, 23.624676 42.854948, 23.633265 42.855229, 23.637167 42.839606, 23.650317 42.844872, 23.666478 42.840079, 23.676929 42.844449, 23.678673 42.834334, 23.666795 42.83098, 23.654864 42.817689, 23.653336 42.808631, 23.647219 42.799614, 23.646988 42.777259, 23.639702 42.768998, 23.632749 42.771042, 23.624754 42.76686, 23.620407 42.760608, 23.622791 42.755766, 23.616207 42.749224, 23.606727 42.724239, 23.592723 42.709829, 23.561903 42.7085, 23.550083 42.704601, 23.544188 42.693321, 23.545091 42.681354, 23.524863 42.684562, 23.519048 42.679319, 23.495728 42.674661, 23.493565 42.662746, 23.497049 42.65722, 23.496352 42.650775, 23.506189 42.647182, 23.498134 42.64023, 23.505733 42.638659, 23.511758 42.642986, 23.531468 42.638633, 23.533885 42.635532, 23.532011 42.625074, 23.540915 42.624732, 23.558945 42.615667, 23.555272 42.585921, 23.557332 42.575432, 23.565386 42.567578, 23.560431 42.562096, 23.562472 42.556177, 23.552284 42.549998, 23.554333 42.544688, 23.551078 42.533198, 23.567217 42.527943, 23.587691 42.50524, 23.595681 42.503168, 23.60538 42.505682, 23.615056 42.500793, 23.624671 42.502587))"
